provinsi,kontrak_sewa,bebas_sewa,lainnya,total
11. ACEH,66278,160925,6027,233230
12. SUMATERA UTARA,386442,636862,38316,1061620
13. SUMATERA BARAT,107721,262905,5718,376344
14. RIAU,158448,192685,24599,375732
15. JAMBI,38131,87321,5122,130574
16. SUMATERA SELATAN,91282,237397,8720,337399
17. BENGKULU,22993,41318,1681,65992
18. LAMPUNG,57889,156836,2489,217214
19. KEPULAUAN BANGKA BELITUNG,16954,27530,4346,48830
21. KEPULAUAN RIAU,106645,33666,5613,145924
31. DKI JAKARTA,716663,503980,61866,1282509
32. JAWA BARAT,841096,1290365,172050,2303511
33. JAWA TENGAH,171019,809241,73584,1053844
34. DI YOGYAKARTA,117320,125037,8114,250471
35. JAWA TIMUR,335370,754043,98537,1187950
36. BANTEN,232296,191966,9812,434074
51. BALI,111221,67146,2472,180839
52. NUSA TENGGARA BARAT,32129,135527,1687,169343
53. NUSA TENGGARA TIMUR,42456,72676,6324,121456
61. KALIMANTAN BARAT,27542,108880,9048,145470
62. KALIMANTAN TENGAH,33898,101933,20313,156144
63. KALIMANTAN SELATAN,68142,129797,11594,209533
64. KALIMANTAN TIMUR,128674,137547,9029,275250
65. KALIMANTAN UTARA,20056,19089,1860,41005
71. SULAWESI UTARA,25128,120989,8054,154171
72. SULAWESI TENGAH,29401,69864,4154,103419
73. SULAWESI SELATAN,82962,204744,8345,296051
74. SULAWESI TENGGARA,18875,51525,2467,72867
75. GORONTALO,6125,54544,364,61033
76. SULAWESI BARAT,4230,24012,1013,29255
81. MALUKU,19538,46303,3414,69255
82. MALUKU UTARA,10636,24508,1779,36923
91. PAPUA BARAT,21844,29922,3582,55348
94. PAPUA,73262,77305,7926,158493
