provinsi,upah minimum provinsi
Aceh,"3,460,672.00"
Sumatera Utara,"2,809,915.00"
Sumatera Barat,"2,811,449.27"
Riau,"3,294,625.56"
Jambi,"3,037,121.85"
Sumatera Selatan,"3,456,874.00"
Bengkulu,"2,507,079.24"
Lampung,"2,716,497.00"
Kepulauan Bangka Belitung,"3,640,000.00"
Kepulauan Riau,"3,402,492.00"
DKI Jakarta,"5,067,381.00"
Jawa Barat,"2,057,495.00"
Jawa Tengah,"2,036,947.00"
DI. Yogyakarta,"2,125,897.61"
Jawa Timur,"2,165,244.30"
Banten,"2,727,812.11"
Bali,"2,813,672.00"
Nusa Tenggara Barat,"2,444,067.00"
Nusa Tenggara Timur,"2,186,826.00"
Kalimantan Barat,"2,702,616.00"
Kalimantan Tengah,"3,261,616.00"
Kalimantan Selatan,"3,282,812.21"
Kalimantan Timur,"3,360,858.00"
Kalimantan Utara,"3,361,653.00"
Sulawesi Utara,"3,545,000.00"
Sulawesi Tengah,"2,736,698.00"
Sulawesi Selatan,"3,434,298.00"
Sulawesi Tenggara,"2,885,964.04"
Gorontalo,"3,025,100.00"
Sulawesi Barat,"2,914,958.08"
Maluku,"2,949,953.00"
Maluku Utara,"3,200,000.00"
Papua Barat,"3,393,500.00"
Papua,"4,024,270.00"
Papua Tengah,"4,024,270.00"
Papua Pegunungan,"4,024,270.00"
Papua Selatan,"4,024,270.00"
Papua Barat Daya,"3,393,500.00"
