provinsi,ump,rata_rata_angsuran
Aceh,3460672.0,1620000
Sumatera Utara,2809915.0,1620000
Sumatera Barat,2811449.27,1620000
Riau,3294625.56,1620000
Jambi,3037121.85,1620000
Sumatera Selatan,3456874.0,1620000
Bengkulu,2507079.24,1620000
Lampung,2716497.0,1620000
Kepulauan Bangka Belitung,3640000.0,1620000
Kepulauan Riau,3402492.0,1620000
DKI Jakarta,5067381.0,1620000
Jawa Barat,2057495.0,1620000
Jawa Tengah,2036947.0,1620000
DI Yogyakarta,2125897.61,1620000
Jawa Timur,2165244.3,1620000
Banten,2727812.11,1620000
Bali,2813672.0,1620000
Nusa Tenggara Barat,2444067.0,1620000
Nusa Tenggara Timur,2186826.0,1620000
Kalimantan Barat,2702616.0,1620000
Kalimantan Tengah,3261616.0,1620000
Kalimantan Selatan,3282812.21,1620000
Kalimantan Timur,3360858.0,1620000
Kalimantan Utara,3361653.0,1620000
Sulawesi Utara,3545000.0,1620000
Sulawesi Tengah,2736698.0,1620000
Sulawesi Selatan,3434298.0,1620000
Sulawesi Tenggara,2885964.04,1620000
Gorontalo,3025100.0,1620000
Sulawesi Barat,2914958.08,1620000
Maluku,2949953.0,1620000
Maluku Utara,3200000.0,1620000
Papua Barat,3393500.0,1620000
Papua,4024270.0,1620000
Papua Tengah,4024270.0,1620000
Papua Pegunungan,4024270.0,1620000
Papua Selatan,4024270.0,1620000
Papua Barat Daya,3393500.0,1620000
